Name,Price,Rating,Details,Image,Link
The Children's Place Boys' Athletic Basketball Shorts,$9.10 - $37.50,4.5,"Fabric type
100% Recycled Poly
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71ytHWrxpEL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Athletic-Basketball-Shorts/dp/B0BNDCRMP2/ref=sr_1_5
"The Children's Place Boys' Assorted Everyday Short Sleeve Graphic T-Shirts, Multipack",$16.38 - $20.37,4.8,"Fabric type
60% Cotton, 40% Polyester
Care instructions
Machine Wash
Origin
Imported
Neck style
Crew Neck",https://m.media-amazon.com/images/I/71YW2eDr9WL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Graphic-T-Shirt-Chameleon/dp/B0BM8RKWD2/ref=sr_1_6
Hanes Boys' Ecosmart Cotton Tank Undershirt 5-Pack,$17.99,4.6,"Fabric type
50% Polyester, 50% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51fjbvlCk+L._AC_SX385_.jpg,https://www.amazon.com/Hanes-Boys-Tank-White-Medium/dp/B07T9GDVQ5/ref=sr_1_7
"Minecraft Boys' 6-Piece Snug-fit Cotton Pajama Set, Soft & Cute for Kids",$19.99,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81G9P3wsQ5L._AC_SX342_.jpg,https://www.amazon.com/Minecraft-Boys-Cotton-Pajamas-Defeat/dp/B0958P42YH/ref=sr_1_8
The Children's Place Boys' Pull On Jogger Shorts,$47.97,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/91eAfqVcCwL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Jogger-Shorts-Tidal/dp/B08Y59D3NQ/ref=sr_1_9
The Children's Place Boys' Pull On Cargo Shorts,$19.55,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Made in the USA or Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71P5XgW+AYL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Shorts-Sandwash-Washed/dp/B08Y18VKYK/ref=sr_1_10
"Hanes Boys' and Toddler Underwear, Comfort Flex and ComfortSoft Boxer Briefs, Multiple Packs Available",$15.72,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/818AWe9WeqL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Underwear-Waistband-Multiple-Available/dp/B0BHX96KLH/ref=sr_1_15
PURE CHAMP 3Pk Boys Sweatpants Fleece Athletic Workout Kids Clothes Boys Joggers with Zipper Pocket and Drawstring Size 4-20,$39.99,4.2,"Fabric type
60% Cotton, 40% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/81ueqLgPz-L._AC_SX385_.jpg,https://www.amazon.com/PURE-CHAMP-Sweatpants-Athletic-Drawstring/dp/B0C8L6F2K1/ref=sr_1_16
Under Armour Boys' Tech Logo Shorts,$14.99 - $20.00,4.7,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51BMC+eA2dL._AC_SX385_.jpg,https://www.amazon.com/Under-Armour-Shorts-Morph-X-Large/dp/B0CJWGMKVD/ref=sr_1_17
"The Children's Place Boys' Sports Short Sleeve Graphic T-Shirts, Multipack",$12.57 - $30.95,4.8,"Fabric type
60% Cotton, 40% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71sXKCOLjcL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Graphic-T-Shirts-Multipacks/dp/B0CLHHBFGQ/ref=sr_1_18
