Name,Price,Rating,Details,Image,Link
The Children's Place Boys' Athletic Basketball Shorts,$9.10 - $37.50,4.5,"Fabric type
100% Recycled Poly
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71ytHWrxpEL._AC_SX425_.jpg,https://www.amazon.com/Childrens-Place-Athletic-Basketball-Shorts/dp/B0BNDC5KJL/ref=sr_1_5
Nike Youth Park III Shorts,$21.40 - $22.00,4.4,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/81UMi2mBMGL._AC_SX342_.jpg,https://www.amazon.com/Nike-Park-Youth-Shorts-Black/dp/B08CP98GGJ/ref=sr_1_6
QBK Boys Girls Basketball Shorts Toddler 2T-16 Youth Athletic Shorts for Soccer & Gym Moisture Wicking Mesh & Dri-Fit,$9.99 - $14.99,4.5,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/51utaPo6JML._AC_SX385_.jpg,https://www.amazon.com/QBK-Basketball-Toddler-Athletic-Moisture/dp/B0F19BZ52C/ref=sr_1_7
The Children's Place Baby Toddler Boys' Athletic Basketball Shorts,$31.99,4.6,"Fabric type
100% recycled polyester dazzle
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/81Y9rYyEHRL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Toddler-Athletic-Basketball/dp/B0CTTXRT71/ref=sr_1_8
5 Pack Boys Shorts Boys Athletic Basketball Mesh Kids Soccer Gym Shorts Clothes Quick Dry Active Sports Shorts,$22.99 - $31.99,4.6,"Fabric type
100% Polyester
Origin
Imported
Rise style
Knee High
Fit type
Standard",https://m.media-amazon.com/images/I/81hqhxB87NL._AC_SY445_.jpg,https://www.amazon.com/YERIOK-Athletic-Basketball-Running-Clothes/dp/B0CZDNFGM1/ref=sr_1_9
Boys Shorts Quick Dry Athletic Running Shorts with Zipper Pockets,$34.90 - $37.90,4.7,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/61BC8-zgjbL._AC_SX385_.jpg,https://www.amazon.com/ANHDM-Athletic-Shorts-Running-Basketball/dp/B0CGZF7B43/ref=sr_1_10
"Reebok Boys Basketball Shorts - 2-in-1 Boys Athletic Shorts for Running with Compression Leggings, Pockets, and Drawstring",$29.99,4.9,"Fabric type
90% Polyester, 10% Elastane
Origin
Imported
Rise style
Mid Rise
Fit type
Regular Fit",https://m.media-amazon.com/images/I/61SMo8gFoCL._AC_SY445_.jpg,https://www.amazon.com/Reebok-Boys-Basketball-Shorts-Compression/dp/B0DQF6KGLQ/ref=sr_1_15
The Children's Place Boys' Pull On Cargo Shorts,$23.97,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Made in the USA or Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71P5XgW+AYL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Shorts-Sandwash-Washed/dp/B08Y19C3QT/ref=sr_1_16
Under Armour Boys' Tech Mesh Shorts,$18.95 - $20.00,4.5,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51A3MyIIgkL._AC_SX385_.jpg,https://www.amazon.com/Under-Armour-Shorts-Black-White/dp/B0CHGRM3WF/ref=sr_1_17
Under Armour Boys' Tech Logo Shorts,$14.99 - $20.00,4.7,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51BMC+eA2dL._AC_SX385_.jpg,https://www.amazon.com/Under-Armour-Shorts-Morph-Medium/dp/B0CJWFHCZ6/ref=sr_1_18
"5-Pack Boys Athletic Shorts with Pockets, Dry-Fit Basketball Soccer Shorts for Youth & Kids Outdoor",$29.99 - $38.99,4.7,"Fabric type
100% Polyester
Origin
Imported
Rise style
Knee High
Pocket style
Utility Pocket",https://m.media-amazon.com/images/I/71D-SMqk0JL._AC_SY445_.jpg,https://www.amazon.com/Athletic-Pockets-Dry-Fit-Basketball-Outdoor/dp/B0DQQ362X9/ref=sr_1_23
Real Essentials Boys' 5-Pack Mesh Active Athletic Performance Basketball Shorts with Pockets,$21.99,4.5,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Designed in USA, Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/81I7C7MHweL._AC_SX342_.jpg,https://www.amazon.com/Pack-Clothing-Athletic-Performance-Basketball/dp/B09SY6XNXW/ref=sr_1_24
The Children's Place Baby Boys' and Toddler Stretch Chino Shorts,$7.98 - $44.99,4.8,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Button",https://m.media-amazon.com/images/I/91a7VvJBk7L._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Toddler-Stretch-Shorts/dp/B09R6WXTTB/ref=sr_1_25
