Name,Price,Rating,Details,Image,Link
"Gildan Men's Crew T-Shirts, Multipack, Style G1100",$17.82 - $65.72,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/710o0VupScL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_2
5 Pack Athletic Gym Mens Shorts - Workout Black Quick Dry Basketball Shorts with Pockets for Running Casual Activewear,$16.99 - $45.99,4.5,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/716A1Qb6zXL._AC_SX342_.jpg,https://www.amazon.com/Pack-Athletic-Gym-Mens-Shorts/dp/B0CRHF41F7/ref=sr_1_3
COOFANDY Men's Linen Shirts Short Sleeve Casual Shirts Button Down Shirt for Men Beach Summer Wedding Shirt,$31.30,4.2,"Fabric type
70%Rayon30%Linen
Care instructions
Machine Wash
Origin
Imported
Closure type
Button",https://m.media-amazon.com/images/I/81+oQBvBR-L._AC_SX342_.jpg,https://www.amazon.com/COOFANDY-Casual-Shirts-Button-Summer/dp/B0BV241H3F/ref=sr_1_4
3 Pcs Men's Oversized Heavy Cotton Summer T-Shirts Vintage Tee Loose Fit Short Sleeve Casual Tshirts for Men Women,$35.99,4.5,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71InQyE-w8L._AC_SX385_.jpg,https://www.amazon.com/Oversized-Cotton-T-Shirts-Vintage-Tshirts/dp/B0C61W2MVF/ref=sr_1_5
"Ultra Performance 3 Pack Fleece Active Tech Joggers for Men, Mens Sweatpants with Zipper Pockets",$36.99 - $46.99,4.1,"Fabric type
Polyester Blend
Origin
Imported
Closure type
Drawstring
Rise style
No Show",https://m.media-amazon.com/images/I/81cuSaRamtL._AC_SX385_.jpg,https://www.amazon.com/Ultra-Performance-Joggers-Sweatpants-Clothing/dp/B08LTB5CR3/ref=sr_1_6
"Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack",$20.70 - $36.95,4.4,"Fabric type
Jersey: 100% Cotton; Heathers: 75% Cotton, 25% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71ISTYxoRgL._AC_SX385_.jpg,https://www.amazon.com/Hanes-T-Shirt-Moisture-Wicking-Crewneck-Heather/dp/B0D2PKQGQV/ref=sr_1_7
"Hanes Men's Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, Multi-Packs",$16.00 - $50.00,4.5,"Fabric type
Solids: 100% Cotton; Heather: 75% Cotton, 25% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81p0a0CNhZL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Moisture-Wicking-Underwear-No-Ride-up-Multi-Packs/dp/B086L69KCL/ref=sr_1_8
BIRW Mens Short Sets 2 Piece Outfits Polo Shirt Fashion Summer Tracksuits Casual Set Short Sleeve and Shorts Set for Men,$39.99,3.8,"Fabric type
Cotton Blend
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61RwNzfxG9L._AC_SX385_.jpg,https://www.amazon.com/Outfits-Fashion-Summer-Tracksuits-Casual/dp/B0BRSNK864/ref=sr_1_9
Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt (Also Available in Big & Tall),$19.99 - $24.99,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Neck style
Crew Neck",https://m.media-amazon.com/images/I/71RPinQjeCL._AC_SX342_.jpg,https://www.amazon.com/Carhartt-Workwear-Short-Sleeve-T-Shirt-X-Large/dp/B002GHC19I/ref=sr_1_10
"Gildan Men's A-Shirt Tanks, Multipack, Style G1104",$16.65 - $35.98,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71kiGpoRLAL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Shirts-Multipack-Black-Large/dp/B07JD592BB/ref=sr_1_15
