Name,Price,Rating,Details,Image,Link
The Children's Place Girls' Short Sleeve High Low Tee,$27.89,4.7,"Fabric type
60% Cotton, 40% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71ewkCh37iL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Shirttail-French-Medium/dp/B0BM8MGN94/ref=sr_1_2
"The Children's Place Girls' Animal Short Sleeve Graphic T-Shirts, Multipack",$13.77 - $34.17,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71348ypssOL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Graphic-T-Shirt-Butterfly/dp/B0BM8SZXKR/ref=sr_1_3
"3 Pack Girls Flowy Shorts with Spandex Liner 2-in-1 Youth Butterfly Skirts for Fitness, Running, Sports",$26.08,4.7,"Fabric type
89% Nylon, 11% Spandex
Care instructions
Hand Wash Only
Origin
Designed in USA, Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71vmYVHTgfL._AC_SX342_.jpg,https://www.amazon.com/Shorts-Spandex-Butterfly-Fitness-Running/dp/B0BN6TCMPH/ref=sr_1_4
Resinta 6 Pack Girls Bike Shorts Under Dress Dance Cartwheel Shorts for Toddler Kids Summer Clothes Multicolor,$13.99 - $14.99,4.1,"Fabric type
100 % Modal Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/61K1XpHrKdL._AC_SX385_.jpg,https://www.amazon.com/Resinta-Cartwheel-Toddler-Clothes-Multicolor/dp/B07D28GGJF/ref=sr_1_5
Gerber Baby Girls' 4 Pack Sleep 'N Play Footie,$15.00,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/91rugS1eU+S._AC_SX385_.jpg,https://www.amazon.com/Gerber-Girls-Sleep-Footies-Months/dp/B08BV2XMG7/ref=sr_1_6
The Children's Place Girls Cartwheel Shorts,$14.37 - $33.57,4.7,"Fabric type
94% Cotton, 6% Spandex
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71Y28z8CrpL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Cartwheel-Shorts-Yellow/dp/B0BMDNQ9NT/ref=sr_1_7
"The Children's Place Girls' Assorted Everyday Short Sleeve Graphic T-Shirts,multipacks",$25.23 - $26.93,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71q02L8ZxcL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Assorted-Everyday-Multipacks/dp/B0DKZYBSVN/ref=sr_1_8
6 Pack Girls Bike Shorts Cartwheel Toddler Biker Under Dress Dance Multi-Color Kids Shorts Girls Clothes,$13.99 - $17.99,4.1,"Fabric type
100% Modal
Care instructions
Hand Wash Only
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71ZNfPrTf6L._AC_SY445_.jpg,https://www.amazon.com/FEOEOR-Cartwheel-Toddler-Multi-Color-Clothes/dp/B0CXMGSSVR/ref=sr_1_9
Cnkwei Girls' Casual Sleeveless Jumpsuits Spaghetti Strap Loose Romper Long Pants with Pockets,$13.52 - $19.99,4.4,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/612GAXl0qFL._AC_SY445_.jpg,https://www.amazon.com/Cnkwei-Sleeveless-Jumpsuits-Spaghetti-Pockets/dp/B0BXCJRWD6/ref=sr_1_10
The Children's Place girls Tee shirt,$7.12 - $8.84,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/41Ead742z+L._AC_SX385_.jpg,https://www.amazon.com/Childrens-Place-Girls-Sleeve-Layering/dp/B078H3DH92/ref=sr_1_15
"Hanes Ultimate Girls' Underwear, Pure Comfort Organic 100% Cotton Panties, Briefs & Hipsters, 8-Pack",$16.99,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/71YKgOHZTiL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Ultimate-Underwear-Hipsters-Hipster-Pink/dp/B0BYB8XYHN/ref=sr_1_16
The Children's Place Girls' Basic Denim Jacket,$18.89,4.8,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/91Ixnp4P2vL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Girls-Jacket-AZUREWASH/dp/B078GZV9JM/ref=sr_1_17
Columbia Girls' Benton Springs Fleece,$21.49,4.8,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61zbuOCmqUL._AC_SX342_.jpg,https://www.amazon.com/Columbia-Benton-Springs-Fleece-Jacket/dp/B01MSMDNFN/ref=sr_1_18
