Name,Price,Rating,Details,Image,Link
PUMA Unisex-Child St Runner Hook and Loop Sneaker,$26.93 - $39.99,4.6,"Sole material
Rubber
Outer material
Ethylene Vinyl Acetate (EVA)
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/71BYNdfaYwL._AC_SY395_.jpg,https://www.amazon.com/PUMA-Runner-Sneaker-Unisex-Toddler/dp/B0DG64LKFT/ref=sr_1_5
Skechers Unisex-child Microspec Plus - Swirl Sweet Sneaker,$27.63 - $42.00,4.6,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Mesh
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71z0c--y5HL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Microspec-Plus-Swirl-Sneaker-Perwinkle/dp/B0BN6W5YLT/ref=sr_1_6
Stelle Girls Wedding Dress Shoes Ballet Flats Flower Party Mary Jane with Beaded Straps Toddler/Little/Big Kids,$19.99 - $28.99,4.4,"Sole material
Thermoplastic Elastomers
Outer material
Polyurethane (PU)
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/61A2zqNpWAL._AC_SY395_.jpg,https://www.amazon.com/Stelle-Wedding-Ballet-Toddler-GMJ006-White/dp/B0DRCKDHFX/ref=sr_1_7
Stride Rite 360 Unisex-Child Ace 2.0 Sneaker,$28.88 - $29.24,4.2,"Sole material
Rubber
Outer material
Rubber
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/513Ptou56jL._AC_SX395_.jpg,https://www.amazon.com/Stride-Rite-360-Sneaker-Toddler/dp/B0BL5TV9CN/ref=sr_1_8
Capezio Kids' Turning Pointe 55 Ballet Shoe,$30.50,4.2,"Fabric type
100% Leather
Origin
Imported
Sole material
Leather/Rubber
Outer material
Leather",https://m.media-amazon.com/images/I/41m7e9jifXL._AC_SY500_.jpg,https://www.amazon.com/Capezio-Turning-Pointe-Ballet-13-1-5/dp/B0106BRFLY/ref=sr_1_9
adidas Baby-Boy's Run Falcon 5 Sneaker,$31.44 - $53.97,4.6,"Origin
Imported
Sole material
Rubber
Outer material
Rubber
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/618NhvpyRpL._AC_SX395_.jpg,https://www.amazon.com/adidas-Falcon-Sneaker-Unisex-Little/dp/B0CKML515P/ref=sr_1_10
NIKE Boy's Sneakers Shoes,$34.00 - $52.09,4.5,"Origin
Imported
Sole material
Rubber
Shaft height
Ankle
Outer material
Leather",https://m.media-amazon.com/images/I/61FLQx0pY0L._AC_SX395_.jpg,https://www.amazon.com/Nike-Court-Legacy-Little-Style/dp/B097HKBFVL/ref=sr_1_15
Skechers Girl's Boundless Sneaker,$26.34 - $30.72,4.9,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/817ZdRzs3BL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Boundless-Sneaker-Lavender-Little/dp/B0CNY6P25Z/ref=sr_1_16
Carter's Baby-Girl's Adalyn First Walker Shoe,$19.41 - $25.15,4.5,"Sole material
Rubber
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/71DUiLYiqoL._AC_SY395_.jpg,https://www.amazon.com/Carters-Every-Adalyn-Walker-Infant/dp/B0BCH5M6WW/ref=sr_1_17
Simple Joys by Carter's Unisex-Child Bailey Athletic Sneaker Running Shoe,$17.39 - $19.38,4.5,"Fabric type
100% Textile
Sole material
Synthetic Rubber
Outer material
Synthetic material
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71LCJzWLoPL._AC_SY395_.jpg,https://www.amazon.com/Simple-Joys-Carters-Running-Numeric_9/dp/B09649CWS1/ref=sr_1_18
adidas Unisex-Child Vl Court 3.0 Elastic Lace Sneaker,$40.00 - $49.30,4.7,"Origin
Imported
Sole material
Rubber
Outer material
Rubber
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71uU+hGzSqL._AC_SY395_.jpg,https://www.amazon.com/adidas-Elastic-Sneaker-Fusion-Unisex/dp/B0CKMKLGH4/ref=sr_1_23
PUMA Unisex-Child Smash Hook and Loop Sneaker,$31.77 - $35.99,4.4,"Sole material
Rubber
Outer material
Leather
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/41ItB+usw2L._AC_SY395_.jpg,https://www.amazon.com/PUMA-Smash-Sneaker-Unisex-Little/dp/B0CJGBSKVV/ref=sr_1_24
Skechers Girl's Skech Fast 2.0 Sneaker,$20.25 - $42.99,4.7,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Pull-On",https://m.media-amazon.com/images/I/71lNxwxyC8L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Skech-Sneaker-Little/dp/B0CNY6VYM9/ref=sr_1_25
adidas Baby-Boy's Grand Court 2.0 Sneaker,$29.82 - $29.97,4.8,"Origin
Made in the USA or Imported
Sole material
Synthetic Rubber
Outer material
Synthetic
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/61k688X9tNL._AC_SY395_.jpg,https://www.amazon.com/adidas-Sneaker-Iridescent-Unisex-Infant/dp/B0C2K33TT4/ref=sr_1_26
SKECHERS Girl's Twinkle Sparks-Ombre Flutter Sneaker,$26.10 - $84.00,4.6,"Fabric type
100% Synthetic
Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)",https://m.media-amazon.com/images/I/71eubab2P3L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twinkle-Sparks-Sneaker-Lavender/dp/B0CPQ98MFL/ref=sr_1_27
PUMA Unisex-Child Courtflex Hook and Loop Sneaker,$22.78 - $29.99,4.7,"Sole material
Synthetic Rubber
Outer material
Ethylene Vinyl Acetate (EVA)
Closure type
Hook & Loop
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/61ckTGer-xL._AC_SY395_.jpg,https://www.amazon.com/PUMA-COURTFLEX-Sneaker-Unisex-Little/dp/B0DG6C1QDC/ref=sr_1_28
Skechers Girls' Uno Gen1 - Color Surge,$25.10 - $29.98,4.6,"Fabric type
100% Synthetic
Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)",https://m.media-amazon.com/images/I/71-kKYdWpkL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-GEN1-COLOR-Surge-Sneaker/dp/B0CNY72PQQ/ref=sr_1_29
Skechers Girl's Ultra Flex 3.0-Graffiti Rush Sneaker,$30.00 - $39.95,5.0,"Origin
Imported
Sole material
Synthetic Rubber
Outer material
Polyurethane (PU)
Closure type
Pull-On",https://m.media-amazon.com/images/I/71AW1j19yyL._AC_SX395_.jpg,https://www.amazon.com/SKECHERS-Girls-Ultra-3-0-Graffiti-Sneaker/dp/B0D4CFJZKS/ref=sr_1_30
Skechers Unisex-Child Twinkle Sparks-Jumpin' Clou Sneaker,$32.99,4.4,"Fabric type
100% Synthetic
Origin
Made in the USA or Imported
Sole material
Manmade
Outer material
Synthetic",https://m.media-amazon.com/images/I/71nRQV92W8L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twinkle-Sparks-Jumpin-Sneaker-Little/dp/B0C4RLG75S/ref=sr_1_31
