Name,Price,Rating,Details,Image,Link
COOFANDY Men's Linen Shirts Short Sleeve Casual Shirts Button Down Shirt for Men Beach Summer Wedding Shirt,$31.30,4.2,"Fabric type
70%Rayon30%Linen
Care instructions
Machine Wash
Origin
Imported
Closure type
Button",https://m.media-amazon.com/images/I/81+oQBvBR-L._AC_SX385_.jpg,https://www.amazon.com/COOFANDY-Casual-Shirts-Button-Summer/dp/B0BV241H3F/ref=sr_1_2
PASLTER Mens Casual Linen Pants Loose Fit Elastic Drawstring Waist Straight-Legs Summer Yoga Beach Long Pants,$25.00,4.3,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Drawstring",https://m.media-amazon.com/images/I/418clUctLJL._AC_SY445_.jpg,https://www.amazon.com/PASLTER-Casual-Straight-Legs-Cotton-Elastic/dp/B07MCNQ6VJ/ref=sr_1_3
COOFANDY Mens Hawaiian Shirt Short Sleeve Buttoon Down Shirts Casual Tropical Floral Summer Linen Shirts,$19.99 - $23.74,4.2,"Fabric type
70%Rayon 30%Linen
Care instructions
Machine Wash
Origin
Imported
Closure type
Button",https://m.media-amazon.com/images/I/81rN7jSUgHS._AC_SX342_.jpg,https://www.amazon.com/COOFANDY-Shirts-Button-Lightweight-Wedding/dp/B08SQ6HHSG/ref=sr_1_4
COZYEASE Men's 2 Piece Hawaiian Outfits Short Sleeve Button Down Shirt and Shorts Set Beach Tracksuits,$15.49,4.1,"Fabric type
95% Polyester, 5% Elastane
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/71rSIa24zjL._AC_SY445_.jpg,https://www.amazon.com/COZYEASE-Hawaiian-Outfits-Tracksuits-Multicolor/dp/B0C22WF5NF/ref=sr_1_5
COOFANDY Men's Hawaiian Matching Set Summer Beach 2 Piece Outfits Flower Button Down Shirts and Shorts Vacation Outfits,$14.49,4.3,"Fabric type
65%Rayon30%polyester5%spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81ehk-De4WL._AC_SY445_.jpg,https://www.amazon.com/COOFANDY-Hawaiian-Casual-Floral-Summer/dp/B087BSB97L/ref=sr_1_6
URRU Men's 2 Pieces Outfits Summer Beach Set See Through Sheer Short Sleeve Flower Lace Shirts and Shorts Sets,$41.99,4.4,"Fabric type
95% Polyester, 5% Spandex
Care instructions
Machine Wash
Origin
Made in the USA or Imported",https://m.media-amazon.com/images/I/81DlkU30sZL._AC_SX342_.jpg,https://www.amazon.com/URRU-Pieces-Outfits-Summer-Through/dp/B0CPX782C3/ref=sr_1_7
EISHOPEER Men's Flower Hawaiian Sets Casual Short Sleeve Shirt and Shorts Suits Outfits with Bucket Hats,$33.14 - $38.69,4.4,"Fabric type
70% Viscose, 30% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81Ucqcf70uL._AC_SX342_.jpg,https://www.amazon.com/EISHOPEER-Hawaiian-Outfits-Casual-Button/dp/B0B1CRZY56/ref=sr_1_8
COOFANDY Men's 2 Pieces Linen Set Henley Shirt Short Sleeve and Shorts Summer Beach Yoga Matching Outfits,$40.99 - $41.99,4.4,"Fabric type
Breathable and Lightweight Material
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61utMTBrPBL._AC_SX342_.jpg,https://www.amazon.com/COOFANDY-Pieces-Sleeve-Matching-Outfits/dp/B0BQHGHDS6/ref=sr_1_9
"maamgic Mens Swim Trunks with Compression Liner 5"" Stretch Beach Shorts Quick Dry with Zipper Pockets No-Chafing Board Shorts",$32.99 - $39.99,,"Fabric type
90% Polyester, 10% Spandex
Care instructions
Machine Wash
Closure type
Drawstring
Bottom style
Trunk",https://m.media-amazon.com/images/I/8174bkjqR0L._AC_SX385_.jpg,https://www.amazon.com/maamgic-Compression-No-Chafing-Pink-Palm-Pineapple/dp/B0BLNQYKMW/ref=sr_1_10
Tyhengta Men's Swim Trunks Quick Dry Beach Shorts with Zipper Pockets and Mesh Lining,$26.38,4.5,"Fabric type
92% Polyester, 8% Spandex
Care instructions
Machine Wash
Origin
Imported
Closure type
Elastic",https://m.media-amazon.com/images/I/71ofItXUjhL._AC_SX342_.jpg,https://www.amazon.com/Tyhengta-Stretch-Trunks-Pockets-ArmyGreen/dp/B082N1519H/ref=sr_1_15
