Name,Price,Rating,Details,Image,Link
"Fruit of the Loom Men's Cotton Briefs, Tag Free & Moisture Wicking, Assorted Color Multipacks",$21.00,4.6,"Fabric type
Solids: 100% Cotton; Heathers: 90% Cotton, 10% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81pJ8vift3L._AC_SY445_.jpg,https://www.amazon.com/Fruit-Loom-Fashion-Brief-Solids/dp/B00VTV7QHY/ref=sr_1_5
"Hanes Men's Moisture-Wicking Cotton Briefs, Available in White and Black, Multi-Packs Available",$9.99 - $34.60,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/51Zsu-yVGML._AC_SX385_.jpg,https://www.amazon.com/Hanes-Moisture-wicking-Cotton-Available-Multi-packs/dp/B004QO20P4/ref=sr_1_6
"Hanes Men's Tagless Briefs, Soft Moisture Wicking Underwear, Tagless, 7-pack",$19.99 - $21.00,4.5,"Fabric type
100% Cotton
Care instructions
Machine Wash",https://m.media-amazon.com/images/I/81KylSEgmML._AC_SX385_.jpg,https://www.amazon.com/Hanes-Ultimate-FreshIQ-ComfortSoft-Briefs/dp/B00ACIGNMY/ref=sr_1_7
"Hanes Men's Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, Multi-Packs",$16.00 - $50.00,4.5,"Fabric type
Solids: 100% Cotton; Heather: 75% Cotton, 25% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81ZBOce1WwL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Underwear-Briefs-Moisture-Wicking-No-Ride-Up/dp/B086KNLH9V/ref=sr_1_8
"Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable, Assorted Color Multipacks",$17.18 - $63.41,4.6,"Fabric type
Solids: 100% Cotton; Heathers: 90% Cotton, 10% Polyester; Fly: 94% Cotton, 6% Polyester
Care instructions
Machine wash cold. Use only non-chlorine bleach when needed. Do not use fabric softener. Tumble dry low. Do not iron
Origin
Imported",https://m.media-amazon.com/images/I/817DHfcaIWL._AC_SY445_.jpg,https://www.amazon.com/Fruit-Loom-Coolzone-Pack-Assorted-X-Large/dp/B097Q7K8NG/ref=sr_1_9
"Hanes Men's Underwear Briefs, Mid-Rise, Moisture-Wicking, 6-Pack",$21.00,4.5,"Fabric type
Solids: 100% Cotton; heathers: 75% cotton, 25% polyester
Care instructions
Hand Wash Only
Origin
Imported",https://m.media-amazon.com/images/I/81eBMd3XQdL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Tagless-ComfortSoft-Waistband-Assorted/dp/B00L6TPSHY/ref=sr_1_10
"Hanes Men's Underwear Boxer Briefs, Cotton Stretch Moisture-Wicking Underwear, Multi-pack",$24.99 - $37.53,4.7,"Fabric type
95% Cotton, 5% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61bZbRYjmfL._AC_SY445_.jpg,https://www.amazon.com/Hanes-Tagless-Stretch-Brief-6-Pack-Black/dp/B09FCKXM5Q/ref=sr_1_15
Hanes mens Ultimate Tagless 7-Pack Briefs With Comfortflex Waistband,$21.13 - $39.09,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61NGycSGZvL._AC_SX342_.jpg,https://www.amazon.com/Hanes-Ultimate-FreshIQ-ComfortSoft-X-Large/dp/B00ACIGM84/ref=sr_1_16
"Amazon Essentials Men's Cotton Tag-Free Briefs Underwear, Multipacks",$19.18 - $20.80,4.4,"Fabric type
100% Cotton
Care instructions
Machine Wash Warm, Tumble Dry Low
Origin
Imported
Bottom style
Briefs",https://m.media-amazon.com/images/I/81HEs6ZuKcL._AC_SX342_.jpg,https://www.amazon.com/Amazon-Essentials-7-Pack-Tag-Free-Heather/dp/B06XW4VPHW/ref=sr_1_17
"BAMBOO COOL Men's Ultra Breathable Underwear,No Riding Up Boxer Briefs with ComfortFlexible Waistband,Multipack",$36.91 - $37.87,4.5,"Fabric type
92% viscose made from bamboo, 8% spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61EZH1RpG9L._AC_SX342_.jpg,https://www.amazon.com/BAMBOO-COOL-Underwear-Comfortable-Viscose/dp/B088WF1PRW/ref=sr_1_18
Gildan Men's Brief Underwear Multipack,$8.99 - $19.99,4.4,"Fabric type
Solids: 100% Cotton; Sport Grey: 90% Cotton, 10% Polyester; Dark Heather: 65% Polyester, 35% Cotton
Care instructions
Hand Wash Only",https://m.media-amazon.com/images/I/81Nj-GWwuJL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Brief-6-Pack-Underwear-Medium/dp/B077ZLWD1M/ref=sr_1_23
Calvin Klein Men's Cotton Classics 3-Pack Boxer Brief,$34.99,4.4,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/41AT5VgkgqL._AC_SX385_.jpg,https://www.amazon.com/Calvin-Klein-Cotton-Briefs-Medium/dp/B084HLCHCJ/ref=sr_1_24
Fruit of the Loom Men's Premium Tag-Free Cotton Underwear (Regular & Big Man),$36.79,4.6,"Fabric type
Solids: 100% Cotton; Heathers: 90% Cotton, 10% Polyester; Fly: 94% Cotton, 6% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61ImDNy8cRL._AC_SY445_.jpg,https://www.amazon.com/Fruit-Loom-Premium-Brief-White/dp/B00XBZZM5E/ref=sr_1_25
"Hanes Originals Stretch Cotton Briefs Pack, Moisture-Wicking Underwear for Men, 3-Pack",$21.00,4.5,"Fabric type
Solids/Prints: 95% Cotton, 5% Spandex; Heathers: 58% Cotton, 37% Polyester, 5% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81BsR04pDsL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Originals-Moisture-Wicking-Underwear-Concrete/dp/B0BXBL7MBL/ref=sr_1_26
Calvin Klein Men's Cotton Classics 5-Pack Boxer Brief,$69.10 - $69.50,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Made in the USA or Imported",https://m.media-amazon.com/images/I/51u1m-0U6hL._AC_SX342_.jpg,https://www.amazon.com/Calvin-Klein-Underwear-Classics-Charcoal/dp/B07L54C3Y1/ref=sr_1_27
"BAMBOO COOL Men's Ultra ComfortSoft Underwear, Moisture Wicking & Breathable No Ride Up Boxer Briefs with Fly, Multipack",$57.61 - $59.99,4.6,"Fabric type
92% viscose made from bamboo, 8% spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61mavJf1RKL._AC_SX342_.jpg,https://www.amazon.com/BAMBOO-COOL-Underwear-Briefs-Breathable/dp/B0CNJS9K87/ref=sr_1_28
Nautica Men's 4 Pack Limited Edition Micro Stretch Briefs,$16.84 - $19.74,4.8,"Fabric type
90% Polyester, 10% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81+EKFSw-+L._AC_SX385_.jpg,https://www.amazon.com/Nautica-Limited-Stretch-Charcoal-Alloy-Assorted/dp/B0CV5DJMC3/ref=sr_1_29
BAMBOO COOL Men's Underwear Boxer Briefs Fly with Built-in 3D Pouch Comfortable Cool Underwear for Men 4 Pack,$29.75 - $35.57,4.6,"Fabric type
47% Viscose from Bamboo,47% Polyester,6% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61+qwoBH7gL._AC_SX342_.jpg,https://www.amazon.com/BAMBOO-COOL-Underwear-Breathable-Performance/dp/B0BRK4SLFT/ref=sr_1_30
Fruit of the Loom Men's Classic,$31.30 - $34.71,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash",https://m.media-amazon.com/images/I/51ww1xH+VNL._AC_SX385_.jpg,https://www.amazon.com/Fruit-Assorted-Cotton-Fashion-Briefs/dp/B071HQZBC2/ref=sr_1_31
Fruit of the Loom Men's Basic White Brief Multipack,$22.21 - $22.46,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/51xuAagQYpL._AC_SX342_.jpg,https://www.amazon.com/Fruit-Loom-7-Pack-Basic-Medium/dp/B001JBNDLM/ref=sr_1_32
"Gildan Men's Underwear Boxer Briefs, Multipack",$11.99 - $28.79,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/71XlEN5d8nL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Regular-Multipack-Charcoal-2X-Large/dp/B07XVXD7MT/ref=sr_1_33
"Hanes Men's Value Performance Stretch Boxer Brief Underwear, Moisture-Wicking, 6-Pack",$23.98 - $25.62,4.5,"Fabric type
92% Polyester, 8% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61JiJw8NsBL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Performance-Stretch-Underwear-Moisture-Wicking/dp/B0D6NHLT6B/ref=sr_1_34
Calvin Klein Men's Cotton Stretch 7-Pack Boxer Brief,$60.03 - $89.50,4.5,"Fabric type
95% Cotton, 5% Elastane
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61PwNmhB-4L._AC_SY445_.jpg,https://www.amazon.com/Calvin-Klein-Cotton-Stretch-Megapack/dp/B07PDNN9DK/ref=sr_1_35
"BAMBOO COOL Mens Breathable Soft Underwear Open-fly Classic Briefs, Tag-free",$27.23,4.6,"Fabric type
92% Viscose Made from Bamboo, 8% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61-pfUaCirL._AC_SX342_.jpg,https://www.amazon.com/BAMBOO-COOL-Underwear-Open-fly-Breathable/dp/B0CG1S72FW/ref=sr_1_36
Calvin Klein Men's Cotton Stretch 3-Pack Brief,$27.88 - $33.25,4.5,"Fabric type
95% Cotton, 5% Elastane
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/51v2Q21VaUL._AC_SX342_.jpg,https://www.amazon.com/Calvin-Klein-Cotton-Stretch-Wicking/dp/B087CJRXWR/ref=sr_1_37
Tommy Hilfiger Men's Cotton Classics 4-pack Brief,$21.00,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81JI8us0ftL._AC_SX342_.jpg,https://www.amazon.com/Tommy-Hilfiger-Classics-Primary-Royalty/dp/B0CJW8WJGC/ref=sr_1_38
Gildan Men's Cotton Stretch Brief,$19.33 - $23.97,4.5,"Fabric type
95% Cotton, 5% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/71q9aL4ygfL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Cotton-Stretch-Brief-5-Pack/dp/B084HFQXHQ/ref=sr_1_39
"Hanes Men's Tagless Comfort Flex Fit Dyed Bikini, 6 Pack",$18.31 - $29.95,4.4,"Fabric type
57% Cotton, 38% Modal, 5% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61zUXmaufLL._AC_SX385_.jpg,https://www.amazon.com/Hanes-Moisture-Wicking-Stretch-Control-Underwear/dp/B086L16L4L/ref=sr_1_40
Reebok Men's Briefs - 5 Pack Quick Dry Low Rise Performance Underwear Briefs - Soft Stretch Athletic Men's Bikini Briefs S-XL,$27.99 - $29.99,4.6,"Fabric type
92% Polyester, 8% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61rVT6V+6rL._AC_SX342_.jpg,https://www.amazon.com/Reebok-Mens-Underwear-Performance-Briefs/dp/B08SW6S38Q/ref=sr_1_41
DAVID ARCHY Men's Briefs Rayon Made from Bamboo Underwear Comfort Fit Super Soft Comfort NO Fly Briefs 4 or 7 Pack,$32.99,4.6,"Fabric type
95% Rayon Made from Bamboo, 5% Spandex
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/710Ocru5peL._AC_SX342_.jpg,https://www.amazon.com/DAVID-ARCHY-Underwear-Breathable-Lightweight/dp/B01KZAO0RS/ref=sr_1_42
Calvin Klein Men's Cotton Classics Multipack Briefs,$26.39,4.5,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/51OdkQ+Q+yL._AC_SX342_.jpg,https://www.amazon.com/Calvin-Klein-Cotton-Classics-Multipack/dp/B084HLB7GB/ref=sr_1_43
"Gildan Men's Underwear Covered Waistband Boxer Briefs, Multipack",$14.17 - $34.19,4.4,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/71nfjA7VnbL._AC_SX385_.jpg,https://www.amazon.com/Gildan-Covered-Waistband-Graphite-Heather/dp/B07CX29N62/ref=sr_1_44
"Under Armour Men's Standard Tech 6"" Boxerjock, Multipack",$39.95 - $42.00,4.7,"Fabric type
90% Polyester, 10% Elastane
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/81GHA3pnF-L._AC_SX342_.jpg,https://www.amazon.com/Under-Armour-6-inch-Boxerjock-Solid-Core/dp/B0C2DKLM5G/ref=sr_1_45
Calvin Klein Men's Cotton Classics 3-Pack Brief,$29.88 - $32.20,4.5,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61Bw9gOV8+L._AC_SX342_.jpg,https://www.amazon.com/Calvin-Klein-Cotton-Classics-3-Pack/dp/B0B4BHZQKS/ref=sr_1_46
